Timestamp,Voltage,Raw Value
1685360866.650192,0.32300985747856076,2614
1685360866.6705456,0.33038508255256815,2673
1685360866.6907942,0.3376353038117618,2730
1685360866.7110343,0.3445105136265145,2783
1685360866.731122,0.35126071962645344,2836
1685360866.7512848,0.35776091799676507,2887
1685360866.771408,0.36401110873744924,2936
1685360866.791512,0.3700112918485061,2984
1685360866.8116882,0.3758864711447493,3029
1685360866.8318303,0.38138663899655145,3074
1685360866.852029,0.3870118106631672,3118
1685360866.8721058,0.39213696707052825,3158
1685360866.8923614,0.39738712729270304,3198
1685360866.9129026,0.40238727988525036,3239
1685360866.9330711,0.40713742484817045,3276
1685360866.953184,0.41176256599627675,3313
1685360866.9733374,0.4162627033295694,3348
1685360866.993542,0.420762840662862,3383
1685360867.0136063,0.4250129703665273,3416
1685360867.0344806,0.4291380962553789,3448
1685360867.0546727,0.4330132145146031,3480
1685360867.0748043,0.4368883327738273,3511
1685360867.0949306,0.4407634510330516,3540
1685360867.115075,0.444138554033021,3568
1685360867.1351519,0.4477636646626179,3595
1685360867.15576,0.45113876766258737,3623
1685360867.1755335,0.45451387066255683,3649
1685360867.195357,0.4577639698477126,3673
1685360867.2157874,0.46076406140324105,3699
1685360867.2361236,0.4638891567735832,3722
1685360867.2564187,0.46663924069948426,3745
1685360867.2767756,0.4693893246253853,3767
1685360867.2973719,0.47226441236610006,3788
1685360867.3184261,0.47501449629200115,3809
1685360867.3394017,0.47751457258827484,3830
1685360867.3608902,0.4800146488845485,3849
1685360867.3825977,0.4823897213660085,3868
1685360867.403548,0.4847647938474685,3887
1685360867.4249468,0.4870148625141148,3905
1685360867.446641,0.48913992736594747,3921
1685360867.4684227,0.4912649922177801,3938
1685360867.489704,0.4932650532547991,3955
1685360867.510326,0.4953901181066317,3971
1685360867.5305798,0.49726517532883696,3986
1685360867.5507462,0.4992652363658559,4002
1685360867.571823,0.5010152897732475,4016
1685360867.592938,0.502765343180639,4031
1685360867.6140525,0.5045153965880307,4044
1685360867.6346273,0.506390453810236,4057
1685360867.655166,0.5080155034028138,4069
1685360867.6757278,0.5096405529953917,4081
1685360867.6956851,0.5110155949583423,4094
1685360867.716309,0.5125156407361064,4106
1685360867.73678,0.5140156865138706,4118
1685360867.757357,0.5153907284768212,4128
1685360867.7773597,0.5167657704397718,4139
1685360867.7979262,0.5181408124027224,4149
1685360867.8178945,0.5192658467360454,4159
1685360867.838424,0.5205158848841822,4169
1685360867.8589408,0.5217659230323192,4178
1685360867.8794646,0.5228909573656423,4187
1685360867.9002216,0.5240159916989654,4196
1685360867.9207973,0.5251410260322886,4205
1685360867.9414713,0.5261410565507981,4213
1685360867.9620352,0.5272660908841212,4222
1685360867.9825346,0.5283911252174445,4230
1685360868.0027082,0.5292661519211401,4238
1685360868.0239272,0.5302661824396496,4245
1685360868.044499,0.5311412091433454,4252
1685360868.0650232,0.5320162358470413,4259
1685360868.08557,0.5327662587359234,4266
1685360868.1061742,0.5335162816248055,4272
1685360868.1265285,0.5343913083285012,4279
1685360868.1483536,0.5351413312173833,4285
1685360868.1691816,0.5360163579210792,4291
1685360868.1905084,0.5368913846247749,4298
1685360868.2110105,0.5376414075136571,4304
1685360868.2327573,0.5382664265877255,4309
1685360868.2541685,0.5390164494766077,4315
1685360868.2755377,0.539641468550676,4320
1685360868.2970126,0.5402664876247444,4325
1685360868.3189101,0.5408915066988128,4330
1685360868.339597,0.5415165257728812,4334
1685360868.3603442,0.5421415448469497,4339
1685360868.3813894,0.5426415601062045,4343
1685360868.4021788,0.5431415753654592,4348
1685360868.4229007,0.5437665944395277,4352
1685360868.443713,0.5442666096987824,4356
1685360868.4645452,0.544766624958037,4360
1685360868.4864028,0.5452666402172918,4364
1685360868.5071673,0.5456416516617328,4367
1685360868.5274882,0.5461416669209875,4372
1685360868.5479243,0.5466416821802423,4375
1685360868.5682871,0.5470166936246834,4378
1685360868.5884707,0.5475167088839381,4381
1685360868.6089866,0.5480167241431929,4386
1685360868.630096,0.548391735587634,4387
1685360868.6510694,0.549141758476516,4391
1685360868.6719923,0.5488917508468887,4396
1685360868.6929076,0.5493917661061435,4398
1685360868.713927,0.5497667775505843,4401
1685360868.734811,0.5501417889950254,4403
1685360868.7556443,0.5505168004394665,4405
1685360868.7764757,0.5507668080690938,4408
1685360868.7968912,0.5512668233283486,4409
1685360868.817782,0.5513918271431624,4412
1685360868.8386147,0.5516418347727897,4415
1685360868.860004,0.5521418500320444,4418
1685360868.8809974,0.5522668538468581,4420
1685360868.9020429,0.5525168614764855,4422
1685360868.9229267,0.5528918729209266,4424
1685360868.9441328,0.5530168767357403,4426
1685360868.9651577,0.5533918881801814,4428
1685360868.9859335,0.553516891994995,4430
1685360869.006538,0.5537668996246223,4432
1685360869.0274813,0.5541419110690634,4433
1685360869.0483687,0.5542669148838771,4435
1685360869.06921,0.5545169225135045,4436
1685360869.0900636,0.5546419263283182,4439
1685360869.1106315,0.5548919339579454,4440
1685360869.1314502,0.5550169377727592,4441
1685360869.1522584,0.5552669454023865,4443
1685360869.1731071,0.5553919492172003,4443
1685360869.1937969,0.5556419568468276,4445
1685360869.2150168,0.5557669606616412,4447
1685360869.2358572,0.5561419721060823,4448
1685360869.2569554,0.5561419721060823,4450
1685360869.2783055,0.556266975920896,4450
1685360869.299256,0.5565169835505234,4452
1685360869.3204756,0.5566419873653371,4453
1685360869.3415341,0.5567669911801507,4454
1685360869.3622127,0.5568919949949644,4456
1685360869.3831356,0.5570169988097782,4456
1685360869.4034708,0.5571420026245918,4458
